id,epoch_ident,service,type,model,pax,lug,data_dtm_track,date_scr_date,date_scr_int,date_rsv_date,date_rsv_int,adv_rsv,daily,total
1,1729564825,Alamo,Midsize SUV,Nissan Rogue or similar,5,4,IFAR,2024-10-21,1,2024-10-22,2,1,99.22,124.31
2,1729564825,Alamo,Economy,Mitsubishi Mirage or similar,4,2,ECAR,2024-10-21,1,2024-10-22,2,1,89.99,111.93
3,1729564825,Alamo,Compact,Nissan Versa or similar,5,2,CCAR,2024-10-21,1,2024-10-22,2,1,89.99,112.03
4,1729564825,Alamo,Midsize,Toyota Corolla or similar,5,3,ICAR,2024-10-21,1,2024-10-22,2,1,89.99,112.43
5,1729564825,Alamo,Standard,VW Jetta or similar,5,3,SCAR,2024-10-21,1,2024-10-22,2,1,95.12,118.71
6,1729564825,Alamo,Premium,Nissan Maxima or similar,5,4,PCAR,2024-10-21,1,2024-10-22,2,1,99.15,124.25
7,1729564825,Alamo,Full Size,Toyota Camry or Chevrolet Malibu or similar,5,4,FCAR,2024-10-21,1,2024-10-22,2,1,99.84,125.4
8,1729564825,Alamo,Compact SUV,Hyundai Kona or similar,5,3,CFAR,2024-10-21,1,2024-10-22,2,1,100.54,125.41
9,1729564825,Alamo,Full Size Elite,Audi A5 Sportback or similar,5,3,GXAR,2024-10-21,1,2024-10-22,2,1,101.55,127.99
10,1729564825,Alamo,Premium Special,Audi A3 or BMW 2 Series Gran Coupe or similar,5,3,PXAR,2024-10-21,1,2024-10-22,2,1,104.41,130.45
11,1729564825,Alamo,Standard Elite,BMW 228i Gran Coupe or similar,5,2,RXAR,2024-10-21,1,2024-10-22,2,1,104.1,130.46
12,1729564825,Alamo,Standard Elite SUV,"Audi Q3, Cadillac XT4 or similar",5,3,RFAR,2024-10-21,1,2024-10-22,2,1,104.06,130.46
13,1729564825,Alamo,Standard SUV,Chevrolet Equinox or similar,5,5,SFAR,2024-10-21,1,2024-10-22,2,1,104.8,131.5
14,1729564825,Alamo,Standard Pickup,Toyota Tacoma or similar,4,3,SPAR,2024-10-21,1,2024-10-22,2,1,104.02,131.5
15,1729564825,Alamo,Pickup,Ford F150 or similar,4,4,PPAR,2024-10-21,1,2024-10-22,2,1,103.86,131.68
16,1729564825,Alamo,Premium Elite SUV,Audi Q5 or similar,5,4,UFAR,2024-10-21,1,2024-10-22,2,1,106.59,134.2
17,1729564825,Alamo,You Click We Pick,"Vehicle determined upon pick-up, Compact or Larger",,,XXAR,2024-10-21,1,2024-10-22,2,1,108.89,136.35
18,1729564825,Alamo,Jeep,Jeep Wrangler 2 Door or similar,4,3,IJAR,2024-10-21,1,2024-10-22,2,1,109.24,136.78
19,1729564825,Alamo,Luxury,Audi A4 or BMW 3 Series or similar,5,4,LCAR,2024-10-21,1,2024-10-22,2,1,110.04,137.77
20,1729564825,Alamo,Jeep Wrangler 4 door,Jeep Wrangler Unlimited or similar,5,5,FJAR,2024-10-21,1,2024-10-22,2,1,114.99,144.26
21,1729564825,Alamo,7 Passenger Minivan,Chrysler Pacifica or similar,7,5,MVAR,2024-10-21,1,2024-10-22,2,1,131.65,164.49
22,1729564825,Alamo,Premium Crossover,Dodge Durango or similar,7,3,PGAR,2024-10-21,1,2024-10-22,2,1,140.77,176.02
23,1729564825,Alamo,Full Size SUV,"Chevrolet Tahoe, Ford Expedition, Nissan Armada or similar",7,3,FFAR,2024-10-21,1,2024-10-22,2,1,156.41,195.58
24,1729564825,Alamo,Convertible,Ford Mustang Convertible or similar,4,2,STAR,2024-10-21,1,2024-10-22,2,1,156.88,195.67
25,1729564825,Alamo,Luxury SUV,"Lincoln Navigator, Infiniti QX80 or similar",7,3,LFAR,2024-10-21,1,2024-10-22,2,1,171.73,215.14
26,1729564825,Alamo,Premium SUV,"Ford Expedition Max, Jeep Wagoneer L or similar",8,7,PFAR,2024-10-21,1,2024-10-22,2,1,174.99,218.77
27,1729564825,Alamo,Premium,Chrysler 300 or similar,5,4,PDAR,2024-10-21,1,2024-10-22,2,1,259.99,322.16
28,1729564825,Alamo,Midsize Luxury SUV,"Mercedes GLE, BMW X5 or similar",5,4,UDAR,2024-10-21,1,2024-10-22,2,1,299.0,371.87
29,1729564825,Alamo,Midsize Elite Luxury SUV,"Audi Q7, Volvo XC90 or similar",7,4,WDAR,2024-10-21,1,2024-10-22,2,1,299.0,371.87
30,1729565095,Alamo,Midsize SUV,Nissan Rogue or similar,5,4,IFAR,2024-10-21,1,2024-10-22,2,1,99.22,124.31
31,1729565095,Alamo,Economy,Mitsubishi Mirage or similar,4,2,ECAR,2024-10-21,1,2024-10-22,2,1,89.99,111.93
32,1729565095,Alamo,Compact,Nissan Versa or similar,5,2,CCAR,2024-10-21,1,2024-10-22,2,1,89.99,112.03
33,1729565095,Alamo,Midsize,Toyota Corolla or similar,5,3,ICAR,2024-10-21,1,2024-10-22,2,1,89.99,112.43
34,1729565095,Alamo,Standard,VW Jetta or similar,5,3,SCAR,2024-10-21,1,2024-10-22,2,1,95.12,118.71
35,1729565095,Alamo,Premium,Nissan Maxima or similar,5,4,PCAR,2024-10-21,1,2024-10-22,2,1,99.15,124.25
36,1729565095,Alamo,Full Size,Toyota Camry or Chevrolet Malibu or similar,5,4,FCAR,2024-10-21,1,2024-10-22,2,1,99.84,125.4
37,1729565095,Alamo,Compact SUV,Hyundai Kona or similar,5,3,CFAR,2024-10-21,1,2024-10-22,2,1,100.54,125.41
38,1729565095,Alamo,Full Size Elite,Audi A5 Sportback or similar,5,3,GXAR,2024-10-21,1,2024-10-22,2,1,101.55,127.99
39,1729565095,Alamo,Premium Special,Audi A3 or BMW 2 Series Gran Coupe or similar,5,3,PXAR,2024-10-21,1,2024-10-22,2,1,104.41,130.45
40,1729565095,Alamo,Standard Elite,BMW 228i Gran Coupe or similar,5,2,RXAR,2024-10-21,1,2024-10-22,2,1,104.1,130.46
41,1729565095,Alamo,Standard Elite SUV,"Audi Q3, Cadillac XT4 or similar",5,3,RFAR,2024-10-21,1,2024-10-22,2,1,104.06,130.46
42,1729565095,Alamo,Standard SUV,Chevrolet Equinox or similar,5,5,SFAR,2024-10-21,1,2024-10-22,2,1,104.8,131.5
43,1729565095,Alamo,Standard Pickup,Toyota Tacoma or similar,4,3,SPAR,2024-10-21,1,2024-10-22,2,1,104.02,131.5
44,1729565095,Alamo,Pickup,Ford F150 or similar,4,4,PPAR,2024-10-21,1,2024-10-22,2,1,103.86,131.68
45,1729565095,Alamo,Premium Elite SUV,Audi Q5 or similar,5,4,UFAR,2024-10-21,1,2024-10-22,2,1,106.59,134.2
46,1729565095,Alamo,You Click We Pick,"Vehicle determined upon pick-up, Compact or Larger",,,XXAR,2024-10-21,1,2024-10-22,2,1,108.89,136.35
47,1729565095,Alamo,Jeep,Jeep Wrangler 2 Door or similar,4,3,IJAR,2024-10-21,1,2024-10-22,2,1,109.24,136.78
48,1729565095,Alamo,Luxury,Audi A4 or BMW 3 Series or similar,5,4,LCAR,2024-10-21,1,2024-10-22,2,1,110.04,137.77
49,1729565095,Alamo,Jeep Wrangler 4 door,Jeep Wrangler Unlimited or similar,5,5,FJAR,2024-10-21,1,2024-10-22,2,1,114.99,144.26
50,1729565095,Alamo,7 Passenger Minivan,Chrysler Pacifica or similar,7,5,MVAR,2024-10-21,1,2024-10-22,2,1,131.65,164.49
51,1729565095,Alamo,Premium Crossover,Dodge Durango or similar,7,3,PGAR,2024-10-21,1,2024-10-22,2,1,140.77,176.02
52,1729565095,Alamo,Full Size SUV,"Chevrolet Tahoe, Ford Expedition, Nissan Armada or similar",7,3,FFAR,2024-10-21,1,2024-10-22,2,1,156.41,195.58
53,1729565095,Alamo,Convertible,Ford Mustang Convertible or similar,4,2,STAR,2024-10-21,1,2024-10-22,2,1,156.88,195.67
54,1729565095,Alamo,Luxury SUV,"Lincoln Navigator, Infiniti QX80 or similar",7,3,LFAR,2024-10-21,1,2024-10-22,2,1,171.73,215.14
55,1729565095,Alamo,Premium SUV,"Ford Expedition Max, Jeep Wagoneer L or similar",8,7,PFAR,2024-10-21,1,2024-10-22,2,1,174.99,218.77
56,1729565095,Alamo,Premium,Chrysler 300 or similar,5,4,PDAR,2024-10-21,1,2024-10-22,2,1,259.99,322.16
57,1729565095,Alamo,Midsize Luxury SUV,"Mercedes GLE, BMW X5 or similar",5,4,UDAR,2024-10-21,1,2024-10-22,2,1,299.0,371.87
58,1729565095,Alamo,Midsize Elite Luxury SUV,"Audi Q7, Volvo XC90 or similar",7,4,WDAR,2024-10-21,1,2024-10-22,2,1,299.0,371.87
